,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Code
219,53,0.685,0.645,0,-6.73,1,0.0256,0.182,0.00532,0.138,0.461,119.936,242347,4,1
220,14,0.421,0.491,0,-9.252,1,0.0295,0.182,0.0,0.195,0.731,147.726,184832,4,1
221,25,0.491,0.817,0,-9.656,1,0.0644,0.129,0.0479,0.275,0.895,156.248,177893,3,1
222,26,0.623,0.852,6,-8.573,0,0.0446,0.0241,0.795,0.297,0.341,128.984,316304,4,1
223,43,0.519,0.771,7,-4.874,1,0.0344,0.00048,0.359,0.079,0.597,150.938,258120,4,1
224,51,0.481,0.956,1,-4.557,0,0.0394,0.00465,8.48e-06,0.285,0.57,160.015,217707,4,1
225,37,0.385,0.694,0,-6.629,1,0.0562,0.0704,2.5e-05,0.147,0.582,169.852,173640,3,1
226,56,0.409,0.717,6,-7.75,1,0.0395,0.000578,0.0632,0.0827,0.311,169.212,188693,4,1
227,55,0.39,0.972,9,-5.023,1,0.0744,0.000287,2.32e-05,0.348,0.592,177.0,300116,4,1
228,49,0.471,0.888,8,-3.724,1,0.0727,0.0306,0.0,0.0892,0.46,160.004,195528,4,1
229,63,0.315,0.826,7,-4.314,0,0.0636,0.00064,0.000687,0.0703,0.359,139.161,256072,4,1
230,55,0.163,0.191,10,-20.924,1,0.0365,0.937,0.959,0.0961,0.0335,105.104,220630,3,1
231,57,0.369,0.996,10,-1.531,0,0.0931,3.83e-05,0.14,0.249,0.209,98.162,231853,4,1
232,39,0.663,0.699,2,-9.659,1,0.0313,0.485,0.0,0.0994,0.965,132.817,124973,4,1
233,39,0.574,0.857,7,-6.973,1,0.0359,0.0268,0.476,0.0786,0.145,132.999,191653,4,1
234,0,0.757,0.706,11,-4.744,0,0.0462,0.0326,0.0497,0.0552,0.962,129.993,281747,4,1
235,46,0.545,0.651,11,-5.966,0,0.044,0.000792,1.43e-05,0.484,0.502,99.926,176349,4,1
236,33,0.413,0.44,4,-9.951,1,0.0299,0.0663,0.0565,0.126,0.271,140.482,226825,4,1
237,44,0.509,0.933,4,-5.633,0,0.099,0.00203,0.000138,0.196,0.374,130.005,288630,4,1
238,54,0.747,0.875,1,-5.635,1,0.0282,0.00733,1.1e-06,0.184,0.913,115.967,185640,4,1
239,85,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4,1
240,53,0.589,0.382,6,-9.56,0,0.0283,0.567,0.000203,0.0884,0.209,77.996,247133,4,1
241,41,0.632,0.601,7,-7.742,0,0.0354,0.448,0.569,0.125,0.24,117.01,236480,4,1
242,61,0.598,0.911,11,-3.97,1,0.0515,0.222,3.84e-06,0.216,0.953,146.469,134907,4,1
243,63,0.494,0.936,11,-7.195,0,0.0398,0.0112,0.000693,0.276,0.834,107.543,224480,4,1
244,37,0.616,0.605,11,-6.108,1,0.0385,0.0912,0.0,0.256,0.718,138.023,194853,4,1
245,41,0.654,0.784,9,-4.906,1,0.0418,0.000314,2.2e-06,0.0775,0.545,116.996,197565,4,1
246,39,0.417,0.586,2,-12.217,1,0.04,0.000358,0.0457,0.0957,0.966,183.704,175640,4,1
247,51,0.236,0.582,1,-7.592,0,0.0348,0.0584,0.00277,0.34,0.265,67.131,241791,4,1
